prix,vue.le,piec.,m2,ville,arrondissement,rue,titre,depuis,évol.,prix.m2
01€,03/12,3,93,paris,16eme ardsmnt,Rue weber                            ,"Appartement - 3 pièces, 93m2",0055 jours,-0100-100.00%,1
02€,04/12,5,204,paris,17eme ardsmnt,Rue legendre                         ,"Appartement - 5 pièces, 204m2",149149 jours,-0100-100.00%,1
03 000€,05/12,3,79,paris,2eme ardsmnt,Rue dussoubs                         ,"Appartement - 3 pièces, 79m2",03939 jours,,38
03 000€,03/12,3,80,paris,3eme ardsmnt,Place des vosges                     ,"Appartement - 3 pièces, 80m2",0066 jours,"-006,25-6.25%",38
03 000€,20/11,2,57,paris,6eme ardsmnt,Rue guisarde                         ,"Appartement - 2 pièces, 57m2",06161 jours,,53
03 000€,23/11,2,60,paris,6eme ardsmnt,Rue guisarde                         ,"Appartement - 2 pièces, 60m2",106106 jours,,50
03 000€,28/11,2,50,paris,7eme ardsmnt,Rue fabert                           ,"Appartement - 2 pièces, 50m2",06868 jours,,60
03 000€,17/11,4,98,paris,8eme ardsmnt,NA,"Appartement - 4 pièces, 98m2",09191 jours,"-009,09-9.09%",31
03 000€,29/11,3,87,paris,11eme ardsmnt,Rue de crussol                       ,"Appartement - 3 pièces, 87m2",04747 jours,,35
03 000€,28/11,3,82,paris,15eme ardsmnt,NA,"Appartement - 3 pièces, 82m2",03333 jours,,37
03 000€,02/12,4,94,paris,18eme ardsmnt,Rue du baigneur                      ,"Appartement - 4 pièces, 94m2",09898 jours,,32
03 000€,22/11,2,65,paris,16eme ardsmnt,NA,"Appartement - 2 pièces, 65m2",03838 jours,,47
03 050€,20/11,2,70,paris,17eme ardsmnt,Villa guizot                         ,"Appartement - 2 pièces, 70m2",03838 jours,,44
03 074€,04/12,4,110,paris,17eme ardsmnt,NA,"Appartement - 4 pièces, 110m2",04949 jours,"-003,15-3.15%",28
03 100€,20/11,4,90,paris,2eme ardsmnt,NA,"Appartement - 4 pièces, 90m2",132132 jours,"-004,62-4.62%",35
03 100€,04/12,5,124,paris,8eme ardsmnt,Rue pelouze                          ,"Appartement - 5 pièces, 124m2",0022 jours,"-011,63-11.63%",25
03 105€,05/12,5,90,paris,14eme ardsmnt,NA,"Appartement - 5 pièces, 90m2",04646 jours,,35
03 140€,03/12,5,101,paris,5eme ardsmnt,NA,"Appartement - 5 pièces, 101m2",0088 jours,"-004,85-4.85%",32
03 150€,05/12,4,97,paris,13eme ardsmnt,NA,"Appartement - 4 pièces, 97m2",07474 jours,"-004,55-4.55%",33
03 157€,20/11,4,102,paris,15eme ardsmnt,NA,"Appartement - 4 pièces, 102m2",01818 jours,,31
03 199€,05/12,3,62,paris,17eme ardsmnt,Rue pierre demours                   ,"Appartement - 3 pièces, 62m2",02424 jours,,52
03 200€,28/11,3,77,paris,6eme ardsmnt,Rue du cherche-midi                  ,"Appartement - 3 pièces, 77m2",150150 jours,"-015,79-15.79%",42
03 200€,21/11,3,85,paris,8eme ardsmnt,Madeleine,"Appartement - 3 pièces, 85m2",09191 jours,,38
03 200€,03/12,4,90,paris,15eme ardsmnt,NA,"Appartement - 4 pièces, 90m2",04747 jours,,36
03 200€,04/12,5,127,paris,17eme ardsmnt,Boulevard des batignolles            ,"Appartement - 5 pièces, 127m2",0022 jours,"-011,5-11.50%",26
03 218€,28/11,5,113,paris,16eme ardsmnt,Rue de la tour                       ,"Appartement - 5 pièces, 113m2",01212 jours,,29
03 224€,04/12,5,125,paris,19eme ardsmnt,NA,"Appartement - 5 pièces, 125m2",0022 jours,,26
03 300€,20/11,5,102,paris,15eme ardsmnt,NA,"Appartement - 5 pièces, 102m2",02020 jours,,33
03 310€,05/12,5,135,paris,10eme ardsmnt,NA,"Appartement - 5 pièces, 135m2",04141 jours,,25
03 310€,03/12,5,135,paris,10eme ardsmnt,NA,"Appartement - 5 pièces, 135m2",03737 jours,,25
03 310€,03/12,5,135,paris,10eme ardsmnt,NA,"Appartement - 5 pièces, 135m2",03737 jours,,25
03 320€,19/11,3,70,paris,2eme ardsmnt,Rue greneta                          ,"Appartement - 3 pièces, 70m2",01919 jours,,48
03 345€,03/12,6,127,paris,15eme ardsmnt,NA,"Appartement - 6 pièces, 127m2",02424 jours,,27
03 350€,01/12,3,67,paris,16eme ardsmnt,Rue de passy                         ,"Appartement - 3 pièces, 67m2",02424 jours,003.08(+3.08%),50
03 367€,04/12,6,134,paris,15eme ardsmnt,NA,"Appartement - 6 pièces, 134m2",0022 jours,,26
03 400€,21/11,1,125,paris,6eme ardsmnt,NA,"Appartement - studio, 125m2",01515 jours,"-005,56-5.56%",28
03 400€,20/11,2,91,paris,11eme ardsmnt,NA,"Appartement - 2 pièces, 91m2",09292 jours,,38
03 420€,02/12,5,146,paris,8eme ardsmnt,Rue lavoisier                        ,"Appartement - 5 pièces, 146m2",04747 jours,"-006,81-6.81%",24
03 500€,27/11,3,53,paris,1er ardsmnt,Rue des pyramides                    ,"Appartement - 3 pièces, 53m2",07474 jours,,67
03 500€,29/11,4,102,paris,3eme ardsmnt,NA,"Appartement - 4 pièces, 102m2",03434 jours,,35
03 500€,04/12,4,103,paris,4eme ardsmnt,NA,"Appartement - 4 pièces, 103m2",09292 jours,,34
03 500€,04/12,5,138,paris,8eme ardsmnt,Rue de miromesnil                    ,"Appartement - 5 pièces, 138m2",0022 jours,"-002,37-2.37%",26
03 500€,30/11,3,97,paris,9eme ardsmnt,Rue lentonnet                        ,"Appartement - 3 pièces, 97m2",04343 jours,"-007,89-7.89%",37
03 500€,23/11,4,102,paris,9eme ardsmnt,NA,"Appartement - 4 pièces, 102m2",03939 jours,,35
03 500€,27/11,4,115,paris,15eme ardsmnt,NA,"Appartement - 4 pièces, 115m2",04141 jours,,31
03 500€,17/11,4,102,paris,16eme ardsmnt,NA,"Appartement - 4 pièces, 102m2",06868 jours,"-005,41-5.41%",35
03 500€,04/12,4,106,paris,16eme ardsmnt,NA,"Appartement - 4 pièces, 106m2",06868 jours,"-010,26-10.26%",34
03 500€,04/12,4,109,paris,16eme ardsmnt,NA,"Appartement - 4 pièces, 109m2",01212 jours,,33
03 500€,05/12,3,60,paris,17eme ardsmnt,Avenue de wagram                     ,"Appartement - 3 pièces, 60m2",02424 jours,,59
03 500€,02/12,4,87,paris,16eme ardsmnt,Victor hugo,"Appartement - 4 pièces, 87m2",03838 jours,,41
03 545€,05/12,6,137,paris,5eme ardsmnt,NA,"Appartement - 6 pièces, 137m2",05858 jours,"-004,32-4.32%",26
03 550€,20/11,3,85,paris,1er ardsmnt,NA,"Appartement - 3 pièces, 85m2",06363 jours,"-005,33-5.33%",42
