"","name"
"1","Rue Nationale"
"2","Avenue des Gobelins"
"3","Place des Alpes"
"4","Rue Taine"
"5","Rue Saint-Louis en l'Île"
"6","Quai de Bourbon"
"7","Rue Jean du Bellay"
"8","Quai de Béthune"
"9","Pont Saint-Louis"
"10","Pont Louis-Philippe"
"11","Rue Boutarel"
"12","Rue Budé"
"13","Rue des Deux Ponts"
"14","Pont de la Tournelle"
"15","Pont Marie"
"16","Rue Poulletier"
"17","Rue de Bretonvilliers"
"18","Pont de Sully"
"19","Boulevard Henri IV"
"20","Rue de la Grenouillette"
"21","Rue Fagon"
"22","Place Nationale"
"23","Rue du Château des Rentiers"
"24","Rue Monge"
"25","Rue des Fossés Saint-Bernard"
"26","Rue d'Arras"
"27","Place de la République"
"28","Place de la Bastille"
"29","Rue de Lyon"
"30","Rue de Charenton"
"31","Avenue du Général Michel Bizot"
"32","Boulevard Diderot"
"33","Rue du Faubourg Saint-Antoine"
"34","Avenue du Docteur Arnold Netter"
"35",NA
"36","Route des Barrières"
"37","Promenade Paul Cézanne"
"38","Rue Alphonse Karr"
"39","Avenue de la Porte de la Villette"
"40","Rue Gaston Tessier"
"41","Rue de Tolbiac"
"42","Avenue d'Ivry"
"43","Boulevard de l'Hôpital"
"44","Rue Poliveau"
"45","Rue de Patay"
"46","Impasse Baudricourt"
"47","Rue Albert Bayet"
"48","Avenue Edison"
"49","Rue Nicolas Fortin"
"50","Rue George Eastman"
"51","Rue Ricaut"
"52","Rue Aumont"
"53","Rue Baudricourt"
"54","Rue du Docteur Charles Richet"
"55","Rue Clisson"
"56","Rue Jean Colly"
"57","Rue de Domrémy"
"58","Boulevard Vincent Auriol"
"59","Place d'Italie"
"60","Rue Philippe de Champagne"
"61","Rue Primatice"
"62","Rue Coypel"
"63","Avenue Stephen Pichon"
"64","Passage Vallet"
"65","Rue du Dessous des Berges"
"66","Rue Marcel Duchamp"
"67","Passage National"
"68","Villa Nieuport"
"69","Rue Eugène Oudiné"
"70","Autoroute du Soleil"
"71","Rue des Templiers"
"72","Rue des Chevaliers"
"73","Rue Royale"
"74","Rue du Four"
