GEOMETRY_ID;Type d'établissement;LIBELLE;ADRESSE;ARR_LIBELLE;ARR_INSEE;geo_shape;geo_point_2d
1161;3261;LESSEPS (11) ELEM A;11 RUE DE LESSEPS;20ème Ardt;75120;"{""type"": ""Point"", ""coordinates"": [2.399715636919432, 48.859052113250364]}";48.8590521133, 2.39971563692
1165;3261;TROIS BORNES (39) ELEM;39 RUE DES TROIS BORNES;11ème Ardt;75111;"{""type"": ""Point"", ""coordinates"": [2.374600993642227, 48.867348560908795]}";48.8673485609, 2.37460099364
1168;3261;LESSEPS (9) ELEM B;9 RUE DE LESSEPS;20ème Ardt;75120;"{""type"": ""Point"", ""coordinates"": [2.400168773742517, 48.85871148587305]}";48.8587114859, 2.40016877374
1170;3261;CARDINAL LEMOINE (24) ELEM;24 RUE DU CARDINAL LEMOINE;5ème Ardt;75105;"{""type"": ""Point"", ""coordinates"": [2.353281840182742, 48.84827306020627]}";48.8482730602, 2.35328184018
1176;3261;BOILEAU (17-23) ELEM;17 rue BOILEAU;16ème Ardt;75116;"{""type"": ""Point"", ""coordinates"": [2.2652642274467683, 48.846344348251584]}";48.8463443483, 2.26526422745
1180;3261;JEAN JAURES (160) ELEM;160 avenue JEAN JAURES;19ème Ardt;75119;"{""type"": ""Point"", ""coordinates"": [2.388022514736719, 48.887289202481746]}";48.8872892025, 2.38802251474
1184;3261;AQUEDUC (39) ELEM;39 RUE DE L' AQUEDUC;10ème Ardt;75110;"{""type"": ""Point"", ""coordinates"": [2.363923017155987, 48.882479007184735]}";48.8824790072, 2.36392301716
1188;3261;PIAT (36) MAT;36 rue PIAT;20ème Ardt;75120;"{""type"": ""Point"", ""coordinates"": [2.384822377554956, 48.87222675531183]}";48.8722267553, 2.38482237755
1189;3261;OLIVIER METRA (32-34) POLY;32 rue OLIVIER METRA;20ème Ardt;75120;"{""type"": ""Point"", ""coordinates"": [2.393851999995678, 48.873298377738]}";48.8732983777, 2.393852
1193;3261;CHAT.DES RENTIERS (37) ELEM;37 RUE DU CHATEAU DES RENTIERS;13ème Ardt;75113;"{""type"": ""Point"", ""coordinates"": [2.369976586384325, 48.82462242112949]}";48.8246224211, 2.36997658638
